State,"County, State",Year,Overall Food Insecurity Rate,# of Food Insecure Persons Overall,Food Insecurity Rate among Black Persons (all ethnicities),Food Insecurity Rate among Hispanic Persons (any race),"Food Insecurity Rate among White, non-Hispanic Persons",SNAP Threshold,% FI ≤ SNAP Threshold,% FI > SNAP Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal,Weighted weekly $ needed by FI,Weighted Annual Food Budget Shortfall
TX,Marion,2019,0.182,1820.0,0.23,,0.15,1.65,0.694,0.306,0.299,540.0,0.68,0.33,2.94,16.59,916000.0
TX,Martin,2019,0.106,600.0,,0.15,0.07,1.65,0.651,0.349,0.146,260.0,0.87,0.13,2.91,16.38,298000.0
TX,Mason,2019,0.144,600.0,,,0.12,1.65,0.637,0.363,0.195,190.0,0.97,0.03,2.59,14.58,265000.0
TX,Matagorda,2019,0.167,6150.0,0.27,0.18,0.11,1.65,0.704,0.296,0.252,2400.0,0.75,0.25,2.87,16.16,3014000.0
TX,Maverick,2019,0.18,10500.0,,0.21,0.17,1.65,0.956,0.044,0.264,4830.0,0.87,0.13,2.2,12.39,3947000.0
TX,Medina,2019,0.121,6050.0,,0.17,0.1,1.65,0.548,0.452,0.18,2090.0,0.62,0.38,2.89,16.27,2986000.0
TX,Menard,2019,0.174,370.0,,0.23,0.11,1.65,0.659,0.341,0.214,60.0,0.6,0.4,2.78,15.68,176000.0
TX,Midland,2019,0.106,17820.0,0.19,0.14,0.07,1.65,0.507,0.493,0.14,6660.0,0.58,0.43,2.98,16.81,9087000.0
TX,Milam,2019,0.165,4080.0,0.2,0.2,0.11,1.65,0.684,0.316,0.242,1460.0,0.85,0.15,2.95,16.61,2056000.0
TX,Mills,2019,0.165,810.0,,,0.11,1.65,0.566,0.434,0.232,220.0,0.68,0.32,2.77,15.6,383000.0
TX,Mitchell,2019,0.129,1100.0,,0.15,0.11,1.65,0.434,0.566,0.16,270.0,0.46,0.54,2.96,16.69,557000.0
TX,Montague,2019,0.177,3440.0,,0.23,0.13,1.65,0.588,0.412,0.233,1040.0,0.79,0.21,3.08,17.37,1812000.0
TX,Montgomery,2019,0.123,70560.0,0.17,0.15,0.08,1.65,0.481,0.519,0.158,23970.0,0.63,0.37,3.09,17.4,37242000.0
TX,Moore,2019,0.117,2500.0,0.34,0.14,0.1,1.65,0.723,0.277,0.151,1020.0,0.89,0.11,2.77,15.61,1184000.0
TX,Morris,2019,0.18,2220.0,0.24,0.21,0.13,1.65,0.639,0.361,0.286,810.0,0.63,0.37,2.8,15.8,1064000.0
TX,Motley,2019,0.151,190.0,,,0.1,1.65,0.693,0.307,0.192,60.0,1.0,0.0,2.89,16.26,94000.0
